Pedido;Data Cadastro;Produto;Descrição Produto;Quantidade Compra;Unidade de Compra;Preço Unit. Compra;Fornecedor;Descrição Fornecedor;Situação Pedido;Previsão Entrega Inicial;Previsão Entrega Atual;Comprador;Nome Comprador;Condição Pagamento;Descrição Condição Pagamento;Data Recebimentos;Máscara de Entrada
54566;09/01/2023;336;Anel O'RING 2144;2;PC;0,75;20071;COMERCIO PARAF. FERR. BERTOLDI LTDA;Atendido;09/01/2023;09/01/2023;55;Gabriel André Bertram;6;28 DIAS;09/01/2023;4.01.06.01.01.00131
55226;20/02/2023;699;Prego Espiral 16x24;5;KG;31;23685;KRAMBECK COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;Atendido;20/02/2023;20/02/2023;55;Gabriel André Bertram;7;30 DIAS;20/02/2023;1.04.05.01.01.00001
57857;18/08/2023;699;Prego Espiral 16x24;5;KG;31;23685;KRAMBECK COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;Atendido;18/08/2023;18/08/2023;55;Gabriel André Bertram;7;30 DIAS;14/09/2023;1.04.05.01.01.00001
55898;12/04/2023;1011;Bobina Al Natural 0,80x1000mmCODIGO CBA: 6172609;5.538,00;KG;24,86;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;22/05/2023;05/06/2023;104;Jonas Linshalm;3;10 DIAS;05/06/2023;1.02.02.01.03.00001
57786;14/08/2023;1011;Bobina Al Natural 0,80x1000mmCODIGO CBA: 6172609;1.512,00;KG;19,749;23679;ALCAST DO BRASIL LTDA;Atendido;14/09/2023;20/09/2023;104;Jonas Linshalm;3;10 DIAS;21/09/2023;1.02.02.01.03.00001
59123;30/10/2023;1011;Bobina Al Natural 0,80x1000mmCODIGO CBA: 6172609;3.264,00;KG;21,77;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;17/01/2024;17/01/2024;104;Jonas Linshalm;3;10 DIAS;19/01/2024;1.02.02.01.03.00001
55566;14/03/2023;1014;Chapa Al Xadrez 2,70x1250x3000mm;150;KG;32,45;23356;ALUMIPLAST;Atendido;14/03/2023;22/03/2023;109;Marcia - Compras;6;28 DIAS;22/03/2023;1.02.01.03.01.00002
60004;19/12/2023;1014;Chapa Al Xadrez 2,70x1250x3000mm;63;KG;32,45;23356;ALUMIPLAST;Atendido;05/02/2024;05/02/2024;109;Marcia - Compras;6;28 DIAS;29/01/2024;1.02.01.03.01.00002
54661;16/01/2023;1016;Bobina Al Natural 1,00x1000mm CODIGO CBA: 6172605;6.108,00;KG;26,72;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;10/03/2023;10/02/2023;104;Jonas Linshalm;2;7 DIAS;10/02/2023;1.02.02.01.05.00001
55028;06/02/2023;1016;Bobina Al Natural 1,00x1000mm CODIGO CBA: 6172605;5.915,00;KG;25,68;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;07/04/2023;24/04/2023;104;Jonas Linshalm;2;7 DIAS;24/04/2023;1.02.02.01.05.00001
