Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
SMIERVEDA VEDACOES IND. LTDA; R$ 2.618,95 ;291;Gabriel André Bertram;;33%;
DL FERRAGENS E FERRAMENTAS LTDA; R$ 26.892,36 ;125;Gabriel André Bertram;;94%;
COMPANHIA BRASILEIRA DE ALUMINIO; R$ 3.178.109,31 ;5;Jonas Linshalm;;85%;
ALUMIPLAST; R$ 7.352,85 ;222;Marcia - Compras;;50%;
ALMAX COMERCIAL E DISTRIBUIDORA DE METAIS; R$ 827.528,00 ;16;Gibson Ribeiro;;100%;
ARCELORMITTAL BRASIL S A; R$ 1.295.368,68 ;10;Marcia - Compras;;81%;
MALTA RIO INDUSTRIAL LTDA; R$ 717.974,55 ;18;Marcia - Compras;;54%;
SA GONDOLAS DE ACO LTDA; R$ 693.939,20 ;20;Marcia - Compras;;100%;
PANATLANTICA CATARINENSE S.A.; R$ 3.322.860,00 ;3;Gibson Ribeiro;;83%;
TEKNO S/A. CONSTRUCOES IND. E COM.; R$ 191.598,40 ;40;Marcia - Compras;;100%;
ARCELORMITTAL GONVARRI BRASIL PRODUTOS SIDERURGICOS S/A; R$ 120.060,00 ;54;Marcia - Compras;;100%;
GERDAU ACOS LONGOS S.A.; R$ 1.183.805,19 ;12;Marcia - Compras;;61%;
COMPANHIA SIDERURGICA DO ESPIRITO SANTO  S/A; R$ 133.230,00 ;52;Marcia - Compras;;100%;
INOX DO BRASIL COMERCIO DE ACO LTDA; R$ 23.099,97 ;136;Marcia - Compras;;80%;
BULLTRADE INDUSTRIAL LTDA.; R$ 37.560,78 ;105;Marcia - Compras;Trocar carteira;100%;
RBB IND. E COM.DE AUTO PECAS LTDA; R$ 73.570,00 ;77;Gibson Ribeiro;;86%;
GESIBRAS - IND. BRASILEIRA REBITES; R$ 17.000,00 ;154;Gibson Ribeiro;Trocar carteira;100%;
COREMMA LTDA; R$ 74.066,08 ;75;Gabriel André Bertram;;90%;
OR-BRASIL COM. IMP E EXPORTDORA LTDA; R$ 23.871,14 ;133;Gabriel André Bertram;;100%;
FUSOPAR PARAFUSOS LTDA-CXS; R$ 15.224,89 ;163;Gabriel André Bertram;;45%;
CISER CIA.INDUST.H.CARLOS SCHNEIDER; R$ 52.645,00 ;89;Gabriel André Bertram;;82%;
TORNEARIA BARBIERI LTDA.; R$ 21.710,65 ;139;Gabriel André Bertram;Trocar carteira;25%;
LAERCIO DIMAS POLTRONIERI COM E REP.; R$ 9.100,00 ;208;Marcia - Compras;;100%;
SINDAL S/A.; R$ 2.450,60 ;305;Marcia - Compras;;100%;
BETO AUTO TINTAS LTDA; R$ 39.765,30 ;102;Gabriel André Bertram;;98%;
ANJO QUIMICA DO BRASIL LTDA; R$ 106.248,02 ;60;Gibson Ribeiro;;58%;
BRASCOLA LTDA.; R$ 244.853,21 ;36;Marcia - Compras;Trocar carteira;70%;
TERCILIO MARCHETTI IND E COM DE AUTOPECAS LTDA; R$ 138.649,62 ;50;Marcia - Compras;;67%;
LUZITECCH INDUSTRIA METALURGICA LTDA; R$ 2.355,84 ;308;Marcia - Compras;;;
CUNHADOS COM. AUTO PECAS ELET.LTDA.; R$ 6.210,00 ;237;Marcia - Compras;;67%;
PIRES DO RIO CIBRACO COMERCIO E INDUSTRIA DE FERRO E ACO LTD; R$ 71.240,80 ;78;Gibson Ribeiro;;100%;
KIFERRO COMERCIAL DE FERRO E ACO LTDA.; R$ 24.401,76 ;132;Gibson Ribeiro;;80%;
DIFERRO ACOS ESPECIAIS LTDA.; R$ 7.959,20 ;213;Marcia - Compras;;67%;
GERDAU ACOS LONGOS S A; R$ 13.640,96 ;176;Marcia - Compras;;;
MKRAFT COMERCIO DE METAIS LTDA; R$ 7.509,30 ;220;Marcia - Compras;Trocar carteira;89%;
NACIONAL TUBOS INDUSTRIAL LTDA; R$ 44.308,75 ;97;Marcia - Compras;;100%;
PERFITUBO COMERCIAL EIRELI ; R$ 2.644,20 ;290;Marcia - Compras;;100%;
ACOS AMERICA LTDA; R$ 6.243,93 ;235;Marcia - Compras;Trocar carteira;86%;
PIVATO AUTO PARTS LTDA; R$ 55.370,00 ;85;Marcia - Compras;;86%;
CASA DA MANGUEIRA E CONEXAO LTDA. ME; R$ 358,00 ;397;Gabriel André Bertram;;100%;
RAUMAK METAL DISTRIBUIDORA LTDA; R$ 2.313,00 ;309;Marcia - Compras;;100%;
HENKEL  LTDA; R$ 55.291,36 ;86;Marcia - Compras;;100%;
AUTOTRAVI BORRACHAS E PLASTICOS EIRELI; R$ 65.652,60 ;80;Marcia - Compras;;0%;
BIRK IND. E COMERCIO LTDA. ME; R$ 38.848,00 ;104;Marcia - Compras;;14%;
CIEMA COMERCIO DE BORRACHA LTDA; R$ 1.100,00 ;353;Marcia - Compras;;100%;
FERRAMENTAS GERAIS COMERCIO IMP DE FERRAM. E MAQUINAS LTDA; R$ 74.823,93 ;74;Gabriel André Bertram;Trocar carteira;84%;
KEUNECKE FERRAGENS E FECHADURA LTDA; R$ 10.652,40 ;194;Marcia - Compras;;33%;
INTERQUIM INDUSTRIA QUIMICA LTDA; R$ 5.448,00 ;245;Gabriel André Bertram;;83%;
STAM CENTRO DE DISTRIBUICAO; R$ 5.076,00 ;247;Marcia - Compras;;50%;
STAM METALURGICA LTDA.; R$ 2.538,00 ;298;Marcia - Compras;;100%;
LF COMERCIAL DE BENS LTDA-ATACADO JOI; R$ 46.865,17 ;92;Gabriel André Bertram;;81%;
COBRA CONEXOES BRASIL IND.METAL.LT.; R$ 104.341,40 ;61;Marcia - Compras;;70%;
NACIONAL CABOS DE ACO LTDA; R$ 1.160,00 ;346;Marcia - Compras;;;
JAK FOTOGRAVURAS IND. GRAFICA LTDA.; R$ 31.504,00 ;116;Marcia - Compras;;100%;
DIMAROL COM. E REPR. LTDA; R$ 9.755,00 ;203;Gabriel André Bertram;;100%;
FABRICA NACIONAL DE AMORTECEDORES; R$ 6.849,00 ;230;Marcia - Compras;;;
HS AUTOMACAO INDUSTRIAL LTDA EPP; R$ 2.587,70 ;292;Leonardo Pereira Falconeli Dos Santos;;97%;
FORBAL IND. AUTOMOTIVE LTDA; R$ 113.989,41 ;57;Marcia - Compras;;93%;
INSTALADORA SAO MARCOS LTDA.; R$ 18.288,00 ;151;Marcia - Compras;;100%;
JOST BRASIL - SISTEMAS AUTOMOTIVOS; R$ 1.016.243,75 ;14;Gibson Ribeiro;;49%;
BERTOLDI MANGUEIRAS E CONEXOES LTDA; R$ 4.950,00 ;248;Gabriel André Bertram;;100%;
ONFLEX BR MANGUEIRAS E CONEXOES LTDA; R$ 12.700,19 ;178;Gabriel André Bertram;;100%;
CHIMAS INDUSTRIA E COMERCIO LTDA; R$ 48.446,70 ;91;Gabriel André Bertram;;97%;
FERRAMENTAS GERAIS COM. IMP. LTDA.; R$ 4.154,75 ;261;Gabriel André Bertram;;100%;
CICAMPO MAQUINAS E FERRAMENTAS LTDA; R$ 52.589,40 ;90;Gabriel André Bertram;;100%;
MAXXLIMP HIGIENE E LIMPEZA LTDA; R$ 7.120,20 ;224;Gabriel André Bertram;;98%;
PLASTUNING IND COM PLASTICOS LTDA; R$ 59.465,12 ;83;Gibson Ribeiro;;100%;
INDUSTRIA E COM. MOLAS BRUSQUE LTDA; R$ 64.436,42 ;81;Marcia - Compras;;100%;
RDR METAIS INDUSTRIAIS LTDA; R$ 163.979,00 ;44;Gibson Ribeiro;;100%;
CENCI & CIA. LTDA.; R$ 25.470,77 ;128;Gabriel André Bertram;;97%;
EQUIPAR PROTECAO INDIVIDUAL LTDA; R$ 18.554,80 ;150;Gabriel André Bertram;;100%;
PRO-LUVAS IND.E COM.PROD.SEGURANCA; R$ 12.590,00 ;179;Gabriel André Bertram;;67%;
AFONSO BAULER IMPLEMENTOS RODOVIARIOS LTDA; R$ 7.617,68 ;218;Leonardo Pereira Falconeli Dos Santos;;100%;
EMPIBLU  COMERCIAL LTDA.; R$ 13.935,00 ;173;Leonardo Pereira Falconeli Dos Santos;;100%;
ELETROTECNICA F.C.LTDA.; R$ 3.806,96 ;265;Gabriel André Bertram;;100%;
A. MICHELSON & FILHOS LTDA.; R$ 16.034,37 ;158;Gabriel André Bertram;;97%;
JOCLAMAR LTDA; R$ 11.583,26 ;184;Leonardo Pereira Falconeli Dos Santos;;100%;
DAB E DAB COM MAT ELETRO ELETRONICO LTDA; R$ 1.219,60 ;342;Leonardo Pereira Falconeli Dos Santos;;100%;
SA ELETRICA INDUSTRIAL LTDA; R$ 2.203,70 ;312;Gabriel André Bertram;;100%;
SAMPAIO DISTRIBUIDORA DE ACO S/A; R$ 292.900,00 ;34;Marcia - Compras;;;
ACOS UNIAO INDUSTRIA E COMERCIO DE ACO LTDA; R$ 427.048,94 ;29;Marcia - Compras;;60%;
FERREIRA LOGISTICA E TRANSPORTES LTDA; R$ 1.827.795,25 ;7;Marcia - Compras;;54%;
U.T. CABOS INDUSTRIA, COMERCIO E SERVICOS LTDA; R$ 12.518,50 ;180;Gabriel André Bertram;;92%;
ENOVA GALVANOPLASTIA E PINTURA LTDA; R$ 1.348,94 ;338;Gabriel André Bertram;;50%;
CONTINENTAL FERRAMENTAS E EQUIPAMENTOS LTDA; R$ 2.564,55 ;296;Gabriel André Bertram;;0%;
BWR INDUSTRIAL LTDA; R$ 2.580,00 ;294;Gabriel André Bertram;;100%;
REITZ INDUSTRIA MECANICA LTDA.; R$ 45.473,22 ;95;Gabriel André Bertram;;21%;
KRAMBECK COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA; R$ 3.399,66 ;279;Gabriel André Bertram;;100%;
COMERCIO DE FERRAGENS ZICKUHR LTDA; R$ 4.303,90 ;256;Leonardo Pereira Falconeli Dos Santos;;89%;
MERCANTIL RAOLI COM E REP. LTDA; R$ 14.440,86 ;168;Leonardo Pereira Falconeli Dos Santos;;100%;
H SOLDAS E EQUIPAMENTOS LTDA; R$ 1.260,69 ;341;Leonardo Pereira Falconeli Dos Santos;;100%;
BLU SOLDAS FERRAMENTAS  LTDA.; R$ 88.163,60 ;66;Gabriel André Bertram;;90%;
MW MAQUINAS E FERRAMENTAS LTDA; R$ 21.783,60 ;138;Gabriel André Bertram;;98%;
AUTORIZADA ASSISTENCIA TECNICA E COMERCIO DE PECAS; R$ 13.978,28 ;172;Leonardo Pereira Falconeli Dos Santos;;98%;
GESSNER MATERIAL DE CONSTRUCAO LTDA; R$ 5.470,44 ;244;Gabriel André Bertram;;100%;
SUL DIESEL BOMBAS INJETORAS LTDA.; R$ 1.047,97 ;359;Leonardo Pereira Falconeli Dos Santos;;100%;
COMERCIO PARAF. FERR. BERTOLDI LTDA; R$ 4.662,18 ;250;Leonardo Pereira Falconeli Dos Santos;;100%;
PRESTAR INDUSTRIA DE MAQUINAS LTDA.; R$ 1.603,00 ;326;Leonardo Pereira Falconeli Dos Santos;;100%;
D. FERRARI & CIA. LTDA. (PETROBRAS); R$ 1.098,70 ;354;Leonardo Pereira Falconeli Dos Santos;;100%;
SCHRADER COMERCIO E REPRESENTACOES; R$ 30.223,85 ;118;Gabriel André Bertram;;100%;
MELLO AUTO DIESEL LTDA.; R$ 9.856,22 ;201;Leonardo Pereira Falconeli Dos Santos;;100%;
BLU STAR COMERCIO DE VEICULOS LTDA.; R$ 165,49 ;417;Leonardo Pereira Falconeli Dos Santos;;100%;
BAUMANN IND E COM DE ACOS LTDA; R$ 138.957,93 ;49;Marcia - Compras;;81%;
BON BLU INDUSTRIA E COMERCIO LTDA; R$ 1.350,00 ;337;Marcia - Compras;;0%;
ADAM DISTRIBUIDORA LTDA; R$ 3.016,30 ;286;Gabriel André Bertram;;86%;
ELETROMECA METALUR.CASAGRANDE LTDA.; R$ 860,00 ;372;Marcia - Compras;;;
KELLEN UNIFORMES LTDA; R$ 54.997,50 ;87;Gabriel André Bertram;;55%;
TRENTO SUPRIMENTOS METALURGICOS LTDA; R$ 13.996,60 ;171;Gabriel André Bertram;;100%;
FABRICA DAS CONEXOES INDUSTRIA E COMERCIO EIRELI; R$ 2.925,00 ;289;Marcia - Compras;;100%;
REFAL IND.COM.REBITES REBITAD. LTDA; R$ 9.570,80 ;205;Gabriel André Bertram;;40%;
GIOVANA QUAIATO 04817358955; R$ 1.085,00 ;355;Leonardo Pereira Falconeli Dos Santos;;100%;
INDUSTRIAL REX LTDA.; R$ 5.493,85 ;243;Gabriel André Bertram;;100%;
VERDE VALE SOLUCOES QUIMICAS LTDA; R$ 2.585,60 ;293;Gabriel André Bertram;;75%;
PFERD RUGGEBERG DO BRASIL LTDA; R$ 98.454,00 ;65;Gabriel André Bertram;;83%;
MARCEGAGLIA DO BRASIL LTDA; R$ 54.738,09 ;88;Marcia - Compras;;33%;
FERRAMENTAS GERAIS COM.IMPORT. S.A.; R$ 2.095,31 ;317;Gabriel André Bertram;;100%;
SISTER COMERCIAL EXPORTADORA E IMPORTADORA LTDA; R$ 529.361,08 ;24;Marcelo Mattos;;100%;
MARCOPOLO S/A; R$ 15.943,92 ;160;Marcia - Compras;;0%;
RUDOLPH FIXACOES LTDA; R$ 17.902,60 ;153;Gabriel André Bertram;;94%;
CR ESTOPARIA LTDA; R$ 10.862,50 ;192;Gabriel André Bertram;;100%;
MFAC INDUSTRIA E COMERCIO LTDA - ME; R$ 3.764,00 ;270;Gabriel André Bertram;;100%;
SUPERMERCADO SCHUTZE LTDA; R$ 16.657,17 ;156;Gabriel André Bertram;;100%;
TIMBO RECUPERADORA DE IMPL.RODOV.LT; R$ 2.240,00 ;310;Gabriel André Bertram;;100%;
L. F. SILVEIRA COMERCIO DE FERRAMENTAS LTDA; R$ 951,56 ;367;Gabriel André Bertram;;100%;
REI AUTO PARTS INDUSTRIA E COM.S/A; R$ 20.183,43 ;145;Gibson Ribeiro;;100%;
WURTH DO BRASIL PECAS DE FIXACAO LTDA; R$ 984,66 ;362;Gabriel André Bertram;;67%;
METALURGICA VALENCA IND E COM LTDA; R$ 77.240,00 ;71;Marcia - Compras;;100%;
KIFIX INDUSTRIA E COMERCIO LTDA; R$ 2.554,74 ;297;Gabriel André Bertram;;100%;
WEG TINTAS LTDA; R$ 1.025.286,32 ;13;Jonas Linshalm;;100%;
COREMMA AUTO PECAS E PARAFUSOS; R$ 1.336,95 ;339;Gabriel André Bertram;;100%;
BRASFIT INDUSTRIA E COMERCIO LTDA; R$ 68.129,20 ;79;Marcia - Compras;;92%;
HALDEX DO BRASIL IND E COM LTDA; R$ 1.361.954,10 ;9;Marcia - Compras;;56%;
ASTRO TECNOLOGIA IND.COMERCIO LTDA.; R$ 2.568,00 ;295;Marcia - Compras;;50%;
METALURGICA VARZEA PAULISTA S/A; R$ 26.734,50 ;127;Gabriel André Bertram;;;
P&B INDUSTRIA DE PAPEIS LTDA; R$ 9.618,40 ;204;Gabriel André Bertram;;100%;
FLUAIR COMPONENTES PNEUMATICOS LTDA; R$ 11.300,00 ;189;Marcia - Compras;;75%;
PORTO SOLUCOES INDUSTRIAIS LTDA ; R$ 62.895,00 ;82;Marcia - Compras;;67%;
CHALLENGER DA AMAZONIA IND DE PECAS P/ VEICULOS AUT. LTDA; R$ 88.058,00 ;67;Marcia - Compras;;43%;
BULDOZER COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA; R$ 43.660,00 ;99;Gibson Ribeiro;;63%;
MANTOVA IND.DE TUBOS PLASTICOS LTDA; R$ 3.375,00 ;281;Marcia - Compras;;100%;
SOPKO IND COMERCIO DE LUVAS LTDA; R$ 693,34 ;379;Gabriel André Bertram;;100%;
VTR BRASIL COM EQUIP. OXICORTE EIRELI - EPP; R$ 7.921,55 ;214;Gabriel André Bertram;;100%;
VILI LUIZ OCHNER; R$ 4.400,00 ;254;Gabriel André Bertram;;100%;
NATIVA COMERCIO DE MATERIAL PARA ESCRITORIO LTDA; R$ 11.804,90 ;182;Leonardo Pereira Falconeli Dos Santos;;100%;
FIX IMPLEMENTOS RODOVIARIOS COMERCIO E SERVICOS LTDA; R$ 155.032,48 ;47;Jonas Linshalm;;88%;
CARMEM TAMANINI BEBER COMERCIAL ME; R$ 2.487,00 ;303;Marcia - Compras;;100%;
SCHULZ S.A; R$ 138.642,00 ;51;Gibson Ribeiro;;100%;
KRAMBECK INSTALADORA COM. MAT. CONSTR. LTDA; R$ 298,00 ;406;Gabriel André Bertram;;100%;
JUPAR INDUSTRIA E COMERCIO LTDA; R$ 28.372,00 ;121;Marcia - Compras;;57%;
METALURGICA FERRARI LTDA; R$ 3.600,00 ;274;Marcia - Compras;;100%;
KRAMBECK COMERCIO DE AUTOPECAS LTDA; R$ 1.751,96 ;323;Gabriel André Bertram;;96%;
DISCPAR ATACADAO DE PARAFUSOS LTDA.; R$ 793,00 ;374;Gabriel André Bertram;;;
