Pedido;Data Cadastro;Item;Produto;Descrição Produto;Situação do Item;Quantidade Estoque;Unidade de Estoque;Quantidade Compra;Unidade de Compra;Quantidade Compra Atend.;Quantidade Compra Canc.;Quantidade Compra Saldo;Preço Unit. Compra;Alíquota ICMS;Alíquota IPI;Alíquota PIS;Alíquota Cofins;Valor Unit. ICMS ST;Valor Unit. Dif. Alíquota;Valor Unit. Dif. Alíquota ST;Preço Unit. Compra (R$);Ratear Custo;Centro de Custo;Descrição Centro de Custo;Ref. Fornecedor;Descrição Ref. Fornecedor;Cor Fornecedor;Descrição Cor Fornecedor;Tipo Pedido;Fornecedor;Descrição Fornecedor;Situação Pedido;Data de Liberação;Data de Envio;Data de Aceite;Previsão Entrega Inicial;Previsão Entrega Atual;Moeda;Descrição da Moeda;Cotação Moeda;Comprador;Nome Comprador;Finalidade;Descrição Finalidade;Condição Pagamento;Descrição Condição Pagamento;Transportadora;Descrição Transportadora;Código Solicitações;Nome Solicitantes;Data Solicitações;Documentos Entrada;Data Recebimentos;Valor Mercadoria;Valor Saldo Item;Centro de Custo / Rateio;Centro de Custo / Rateio / Descrição;Valor de Desconto do Item;Valor de Seguro do Item;Valor de Frete do Item;Valor de Despesas do Item;Custo Total do Item;Custo Unitário do Item;Valor Total Item;Máscara de Entrada;Pedido Fornecedor;Regime Tributário do Fornecedor;Local de Entrega;Descrição Local de Entrega;Urgência;Código de Controle;Família de Produto;Descrição Família de Produto;Histórico do Item do Pedido;Nome Fantasia;Custo de Entrada do Item da Nota Fiscal;Cotação;Conta Contábil;Descrição Conta Contábil;Data de Aprovação Solicitações;Valor Total Item R$;Valor IBS Municipal R$;Valor IBS Estadual R$;Valor CBS R$;Valor IS R$
74594;30/04/2026;21;336;Anel O'RING 2144;Atendido;10,000;PC;10,000;PC;10,000;0,000;0,000;1,3500;4,00;5,20;0,00;0,00;0,00;0,00;0,00;1,3500;Não;1100202;Manutencao;;;;;Normal;23434;SMIERVEDA VEDACOES IND. LTDA;Atendido;15/05/2026;;15/05/2026;07/05/2026;31/05/2026;0;Real;0,0000;55;Gabriel André Bertram;1;Materia Prima Matriz Nat 1;6;28 DIAS;21194;THE FLASH LINHA AGENCIA SERVIC.LTDA;22406/25;Manutencao;29/04/2026;156239;19/05/2026;13,50;0,00;1.10.02.02 (100,00%);1.10.02.02 (100,00%) - Manutencao;0,00;0,00;0,00;0,00;14,20;1,4200;14,20;4.01.06.01.01.00131;;NORMAL;1;MATRIZ;Nenhuma;;;;Atendido;SMIERVEDA;Nota Fiscal: 156239 Item NF: 24 Custo de Entrada: 1,60400 / Nota Fiscal: 156239 Item NF: 24 Custo de Entrada: 1,60400;;;;29/04/2026;14,20;0,00;0,00;0,00;0,00
76227;22/07/2026;2;336;Anel O'RING 2144;Atendido;2,000;PC;2,000;PC;2,000;0,000;0,000;22,2600;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,2600;Não;1100202;Manutencao;;;;;Normal;23878;AUTORIZADA ASSISTENCIA TECNICA E COMERCIO DE PECAS;Atendido;22/07/2026;;22/07/2026;29/07/2026;29/07/2026;0;Real;0,0000;206;Leonardo Pereira Falconeli Dos Santos;4;Estoque Almox - Mat Manutenção;6;28 DIAS;;;;;;16491;16/07/2026;44,52;0,00;1.10.02.02 (100,00%);1.10.02.02 (100,00%) - Manutencao;0,00;0,00;0,00;0,00;52,09;26,0450;44,52;4.01.06.01.01.00131;;SIMPLES NACIONAL;1;MATRIZ;Nenhuma;;;;Atendido;AUTORIZADA ASSISTENCIA TECNICA;Nota Fiscal: 16491 Item NF: 2 Custo de Entrada: 20,20500 / Nota Fiscal: 16491 Item NF: 2 Custo de Entrada: 20,20500;;;;;44,52;0,00;0,00;0,00;0,00
73251;26/02/2026;1;699;Prego Espiral 16x24;Atendido;4,000;KG;4,000;KG;4,000;0,000;0,000;37,7425;0,00;0,00;1,65;7,60;0,00;0,00;0,00;37,7425;Não;1100104;Almoxarifado;;;;;Normal;25169;DL FERRAGENS E FERRAMENTAS LTDA;Atendido;26/02/2026;26/02/2026;;02/03/2026;02/03/2026;0;Real;0,0000;55;Gabriel André Bertram;1;Materia Prima Matriz Nat 1;6;28 DIAS;;;22134/3;Maxuel Dario Paternolli;25/02/2026;7569;26/02/2026;150,97;0,00;1.10.01.04 (100,00%);1.10.01.04 (100,00%) - Almoxarifado;0,00;0,00;0,00;0,00;150,97;37,7425;150,97;1.04.05.01.01.00001;;SIMPLES NACIONAL;1;MATRIZ;Nenhuma;;001.001;Matéria Prima;Atendido;DL FERRAGENS;Nota Fiscal: 7569 Item NF: 1 Custo de Entrada: 33,33000 / Nota Fiscal: 7569 Item NF: 1 Custo de Entrada: 33,33000;;;;25/02/2026;150,97;0,00;0,00;0,00;0,00
75189;29/05/2026;3;699;Prego Espiral 16x24;Atendido;4,000;KG;4,000;KG;4,000;0,000;0,000;33,2850;0,00;0,00;1,65;7,60;0,00;0,00;0,00;33,2850;Não;1100104;Almoxarifado;;;;;Normal;25169;DL FERRAGENS E FERRAMENTAS LTDA;Atendido;01/06/2026;29/05/2026;01/06/2026;08/06/2026;01/07/2026;0;Real;0,0000;55;Gabriel André Bertram;1;Materia Prima Matriz Nat 1;6;28 DIAS;;;22538/4;Maxuel Dario Paternolli;29/05/2026;9473;02/06/2026;133,14;0,00;1.10.01.04 (100,00%);1.10.01.04 (100,00%) - Almoxarifado;0,00;0,00;0,00;0,00;133,14;33,2850;133,14;1.04.05.01.01.00001;;SIMPLES NACIONAL;1;MATRIZ;Nenhuma;;001.001;Matéria Prima;Atendido;DL FERRAGENS;Nota Fiscal: 9473 Item NF: 2 Custo de Entrada: 29,08250 / Nota Fiscal: 9473 Item NF: 2 Custo de Entrada: 29,08250;;;;29/05/2026;133,14;0,00;0,00;0,00;0,00
74210;10/04/2026;1;1011;Bobina Al Natural  0,80x1000mm CODIGO CBA: 6172609;Atendido;6.240,000;KG;6.240,000;KG;6.240,000;0,000;0,000;34,9700;12,00;3,25;1,65;7,60;0,00;0,00;0,00;34,9700;Não;1100104;Almoxarifado;;;;;Normal;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;12/06/2026;;12/06/2026;29/05/2026;01/06/2026;0;Real;0,0000;104;Jonas Linshalm;1;Materia Prima Matriz Nat 1;2;7 DIAS;;;;;;1393327;02/06/2026;218.212,80;0,00;1.10.01.04 (100,00%);1.10.01.04 (100,00%) - Almoxarifado;0,00;0,00;0,00;0,00;225.304,72;36,1065;225.304,72;1.02.02.01.03.00001;;NORMAL;1;MATRIZ;Nenhuma;;001.001;Matéria Prima;Atendido;CBA;Nota Fiscal: 1393327 Item NF: 1 Custo de Entrada: 27,92704 / Nota Fiscal: 1393327 Item NF: 1 Custo de Entrada: 27,92704;;;;;225.304,72;0,00;0,00;0,00;0,00
77121;01/09/2026;1;1014;Chapa Al Xadrez 2,70x1250x3000mm;Em Aberto;95,000;KG;95,000;KG;0,000;0,000;95,000;13,8000;0,00;5,00;0,00;0,00;0,00;0,00;0,00;13,8000;Não;1010105;Almoxarifado;;;;;Normal;22840;ALUMIPLAST COMERCIO DE METAIS LTDA;Em Aberto;01/09/2026;;;25/09/2026;25/09/2026;0;Real;0,0000;109;Marcia - Compras;1;Materia Prima Matriz Nat 1;6;28 DIAS;21072;TRANSVILLE - TRANSPORTES E SERVICOS;22958/1;Maxuel Dario Paternolli;26/08/2026;;;1.311,00;1.311,00;1.01.01.05 (100,00%);1.01.01.05 (100,00%) - Almoxarifado;0,00;0,00;0,00;0,00;1.376,55;14,4900;1.376,55;1.02.01.03.01.00002;;;1;MATRIZ;Nenhuma;;001.001;Matéria Prima;;ALUMIPALST;;;;;26/08/2026;1.376,55;0,00;0,00;0,00;0,00
73847;20/03/2026;1;1014;Chapa Al Xadrez 2,70x1250x3000mm;Atendido;94,500;KG;94,500;KG;95,000;0,000;0,000;38,3000;12,00;3,25;1,65;7,60;0,00;0,00;0,00;38,3000;Não;1100104;Almoxarifado;;;;;Normal;23356;ALUMIPLAST;Atendido;20/04/2026;23/03/2026;23/04/2026;18/04/2026;05/05/2026;0;Real;0,0000;109;Marcia - Compras;1;Materia Prima Matriz Nat 1;6;28 DIAS;;;22265/20;Maxuel Dario Paternolli;19/03/2026;19020;30/04/2026;3.619,35;0,00;1.10.01.04 (100,00%);1.10.01.04 (100,00%) - Almoxarifado;0,00;0,00;0,00;0,00;3.736,98;39,5448;3.736,98;1.02.01.03.01.00002;;NORMAL;1;MATRIZ;Nenhuma;;001.001;Matéria Prima;Atendido;ALUMIPLAST;Nota Fiscal: 19020 Item NF: 1 Custo de Entrada: 32,46442 / Nota Fiscal: 19020 Item NF: 1 Custo de Entrada: 32,46442;;;;19/03/2026;3.736,98;0,00;0,00;0,00;0,00
74706;08/05/2026;1;1014;Chapa Al Xadrez 2,70x1250x3000mm;Atendido;95,000;KG;95,000;KG;95,000;0,000;0,000;39,3000;12,00;3,25;1,65;7,60;0,00;0,00;0,00;39,3000;Não;1100104;Almoxarifado;;;;;Normal;23356;ALUMIPLAST;Atendido;14/05/2026;08/05/2026;14/05/2026;25/05/2026;25/05/2026;0;Real;0,0000;109;Marcia - Compras;1;Materia Prima Matriz Nat 1;6;28 DIAS;;;22411/1;Maxuel Dario Paternolli;30/04/2026;19086;13/05/2026;3.733,50;0,00;1.10.01.04 (100,00%);1.10.01.04 (100,00%) - Almoxarifado;0,00;0,00;0,00;0,00;3.854,84;40,5773;3.854,84;1.02.01.03.01.00002;;NORMAL;1;MATRIZ;Nenhuma;;001.001;Matéria Prima;Atendido;ALUMIPLAST;Nota Fiscal: 19086 Item NF: 1 Custo de Entrada: 33,17074 / Nota Fiscal: 19086 Item NF: 1 Custo de Entrada: 33,17074;;;;30/04/2026;3.854,84;0,00;0,00;0,00;0,00
75643;24/06/2026;1;1014;Chapa Al Xadrez 2,70x1250x3000mm;Atendido;95,000;KG;95,000;KG;97,000;0,000;0,000;39,3000;12,00;3,25;1,65;7,60;0,00;0,00;0,00;39,3000;Não;1100104;Almoxarifado;;;;;Normal;23356;ALUMIPLAST;Atendido;26/06/2026;26/06/2026;26/06/2026;22/07/2026;17/07/2026;0;Real;0,0000;109;Marcia - Compras;1;Materia Prima Matriz Nat 1;6;28 DIAS;;;22653/1;Maxuel Dario Paternolli;22/06/2026;19256;15/07/2026;3.733,50;0,00;1.10.01.04 (100,00%);1.10.01.04 (100,00%) - Almoxarifado;0,00;0,00;0,00;0,00;3.854,84;40,5773;3.854,84;1.02.01.03.01.00002;;NORMAL;1;MATRIZ;Nenhuma;;001.001;Matéria Prima;Atendido;ALUMIPLAST;Nota Fiscal: 19256 Item NF: 1 Custo de Entrada: 32,99113 / Nota Fiscal: 19256 Item NF: 1 Custo de Entrada: 32,99113;;;;22/06/2026;3.854,84;0,00;0,00;0,00;0,00
76430;31/07/2026;1;1016;Bobina Al Natural 1,00x1000mm;Em Aberto;12.340,000;KG;12.340,000;KG;0,000;0,000;12.340,000;34,6200;12,00;3,25;1,65;7,60;0,00;0,00;0,00;34,6200;Não;1100104;Almoxarifado;;;;;Normal;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Em Aberto;31/07/2026;;31/07/2026;10/09/2026;10/09/2026;0;Real;0,0000;104;Jonas Linshalm;1;Materia Prima Matriz Nat 1;2;7 DIAS;;;;;;;;427.210,80;427.210,80;1.10.01.04 (100,00%);1.10.01.04 (100,00%) - Almoxarifado;0,00;0,00;0,00;0,00;441.095,15;35,7451;441.095,15;1.02.02.01.05.00001;;NORMAL;1;MATRIZ;Nenhuma;;001.001;Matéria Prima;;CBA;;;;;;441.095,15;0,00;0,00;0,00;0,00
