Ano;Mês;Familia;Indice;Valor
2024;12;Alumínio;Alumínio mercado;30,25010294
2025;1;Alumínio;Alumínio mercado;30,23960401
2025;2;Alumínio;Alumínio mercado;29,56374505
2025;3;Alumínio;Alumínio mercado;29,14077507
2025;4;Alumínio;Alumínio mercado;27,16186564
2025;5;Alumínio;Alumínio mercado;27,11988381
2025;6;Alumínio;Alumínio mercado;27,06031643
2025;7;Alumínio;Alumínio mercado;27,52550605
2025;8;Alumínio;Alumínio mercado;27,27935563
2025;9;Alumínio;Alumínio mercado;27,4205023
2025;10;Alumínio;Alumínio mercado;28,57362945
2025;11;Alumínio;Alumínio mercado;29,16644796
2025;12;Alumínio;Alumínio mercado;30,6890723
2026;1;Alumínio;Alumínio mercado;32,11438249
2026;2;Alumínio;Alumínio mercado;31,02004988
2026;3;Alumínio;Alumínio mercado;33,70665388
2026;4;Alumínio;Alumínio mercado;34,9659173
2026;5;Alumínio;Alumínio mercado;35,30230147
