Produto;Descricao Produto;PesoPorPecaKg
6561;Perfil Lateral Superior - Sider - Ref. CBA N2079 - Liga 6005 A-T6C - Barra 15,45m - SKU CBA 6203538;118,08435
8930;Perfil Al PT - 5040mm - 4,030kg/pc - 6124420;4,03
10417;Perfil Al CBA N2550 - Comp. 3250mm - 1,143 kg/m - Liga e Tempera 6063-T6F Nao Anodizado - SKU CBA 6203531;3,71475
19071;Perfil Al E1461 - Comp. 2435mm - CODIGO CBA 6203877;1,947
19072;Perfil Al E1461 - Comp. 2535mm - SKU CBA 6203520;2,027
19075;Perfil Al E1461 - Comp. 2835mm - SKU CBA 6203519;2,2669
19076;Perfil Al E1461 - Comp. 2935mm - SKU CBA 6203516;2,3468
19078;Perfil Al E1461 - Comp. 4440mm - SKU CBA 6203518;3,5502
21088;Perfil Superior Lateral - SDR 10,50 - Ref. CBA N2079 - Liga 6005 A-T6C - Barra 10,50m - SKU CBA 6203537;80,2515
33513;Perfil Superior Lateral - SDR 9,50 - Ref. CBA N2079 - Liga 6005 A-T6C - Barra 9,50m - SKU CBA 6203536;72,6085
219754;Perfil Al PT - 2990mm - 2,3908kg/pc;2,3908
204075;Trilho Double Deck Vertical Ecometalica 2000mm REF:PRD00008;2,045
204076;Travessa Movel Double Deck Ecometalica (2320);14,698
219479;Perfil Lat Cxa Carga Furado 162x2218mm-Forbal 01.010.0036;23,339
219477;Perfil Lat Cxa Carga Furado 162x2968mm-Forbal 01.010.0035;31,241
219522;Tampa 2220x550 Para Carga Seca Tira Fino Retangular - Com ACM Preto (Ref. Forbal R2220CS550210);26,36
