 Tipo ;Data;Comprador;Código;Descriçao;Consumo Mensal;UM;Fornecedor Atual; Preco Atual Unitario ;Competidor A; Preço Competidor A ;Competidor B; Preco Competidor B ;Vencedor; Preco Vencedor ;Status; Saving Unitario ; Saving Mensal ; Saving Total ;Reducao Percentual; Custo referência 
 Anual ;27/04/2026;Gibson;1372;Rebite AlMc4,76x12,7 3/16x1/2CbLen;500;KG;Rebibras; R$ 35,90 ;Fusopar; R$ 111,43 ;Gesibras; R$ 33,50 ;Gesibras; R$ 33,50 ;Homologação em curso; R$ 2,40 ; R$ 1.200,00 ; R$ 7.200,00 ;7%; R$ 107.700,00 
 Anual ;24/04/2026;Gibson;;Veículos;3;PC;Linshalm; R$ 3.276,77 ;Breitkopf; R$ 2.868,00 ;Unidas; R$ 3.055,00 ;Breitkopf; R$ 2.868,00 ;Homologado; R$ 408,77 ; R$ 1.226,31 ; R$ 7.357,86 ;14%; R$ 58.981,86 
 Spot ;28/04/2026;Gibson;;Kit Cardan - ;26;PC;Rei; R$ 2.411,65 ;Buldozer; R$ 2.276,00 ;Scherer; - ;Buldozer; R$ 2.276,00 ;Homologado; R$ 135,65 ; R$ 3.526,90 ; R$ 3.526,90 ;6%; R$ 62.702,90 
 Anual ;28/04/2026;Gibson;2688;Trava Lingueta - IC 1020 / Zincado Branco;79;PC;RDR; R$ 20,89 ;RDR Reajuste; R$ 21,56 ;;;RDR Reajuste; R$ 21,56 ;Homologado;-R$ 0,67 ;-R$ 52,93 ;-R$ 317,58 ;-3%; R$ 9.901,86 
 Anual ;28/04/2026;Gibson;8255;Lingueta Lateral - IC 1020 / Natural;90;PC;RDR; R$ 30,97 ;RDR Reajuste; R$ 31,96 ;;;RDR Reajuste; R$ 31,96 ;Homologado;-R$ 0,99 ;-R$ 89,10 ;-R$ 534,60 ;-3%; R$ 16.723,80 
 Anual ;28/04/2026;Gibson;8256;Duto Lingueta - IC 1020 / Natural;83;PC;RDR; R$ 37,89 ;RDR Reajuste; R$ 39,10 ;;;RDR Reajuste; R$ 39,10 ;Homologado;-R$ 1,21 ;-R$ 100,43 ;-R$ 602,58 ;-3%; R$ 18.869,22 
 Anual ;28/04/2026;Gibson;8565;8565 - Batente Traseiro - IC 304 - Eletropolido;280;PC;RDR; R$ 30,53 ;RDR Reajuste; R$ 31,51 ;;;RDR Reajuste; R$ 31,51 ;Homologado;-R$ 0,98 ;-R$ 274,40 ;-R$ 1.646,40 ;-3%; R$ 51.290,40 
 Anual ;28/04/2026;Gibson;8926;Macaneta Interna - IC 1020 / Zincado Branco;60;PC;RDR; R$ 17,75 ;RDR Reajuste; R$ 18,32 ;;;RDR Reajuste; R$ 18,32 ;Homologado;-R$ 0,57 ;-R$ 34,20 ;-R$ 205,20 ;-3%; R$ 6.390,00 
 Anual ;28/04/2026;Gibson;9251;Sapata Direita - IC 1020 / Natural;272;PC;RDR; R$ 15,70 ;RDR Reajuste; R$ 16,20 ;;;RDR Reajuste; R$ 16,20 ;Homologado;-R$ 0,50 ;-R$ 136,00 ;-R$ 816,00 ;-3%; R$ 25.622,40 
 Anual ;28/04/2026;Gibson;9252;Sapata Esquerda - IC 1020 / Natural;267;PC;RDR; R$ 15,70 ;RDR Reajuste; R$ 16,20 ;;;RDR Reajuste; R$ 16,20 ;Homologado;-R$ 0,50 ;-R$ 133,50 ;-R$ 801,00 ;-3%; R$ 25.151,40 
