Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
IBERO INDUSTRIA BRASILEIRA DE EQUIP. RODOV. S A;R$ 4.285.457,17;1;Gibson Ribeiro;;94%;Estratégico
SAF-HOLLAND DO BRASIL IND PROD EIXOS E EQUIP;R$ 4.218.498,27;2;Gibson Ribeiro;;79%;Estratégico
COMPANHIA BRASILEIRA DE ALUMINIO;R$ 3.178.109,31;3;Jonas Linshalm;;85%;Estratégico
SOLUCOES EM ACO USIMINAS S/A;R$ 3.141.378,68;4;Marcia - Compras;;63%;Alavancável
PANATLANTICA CATARINENSE S.A.;R$ 2.701.740,00;5;Marcia - Compras;;86%;Alavancável
PRE-FABRICAR CONSTRUCOES LTDA;R$ 1.980.307,29;6;Gabriel André Bertram;;100%;Estratégico
FERREIRA LOGISTICA E TRANSPORTES LTDA;R$ 1.796.796,75;7;Marcia - Compras;;52%;Gargalo
HALDEX DO BRASIL IND E COM LTDA;R$ 1.361.954,10;8;Marcia - Compras;;56%;Alavancável
R S PNEUS E EQUIPAMENTOS LTDA;R$ 1.339.525,14;9;Gibson Ribeiro;;84%;Estratégico
ADR BRASIL EIXOS LTDA;R$ 1.265.500,00;10;Gibson Ribeiro;;;Estratégico
GERDAU ACOS LONGOS S.A.;R$ 1.110.172,19;11;Marcia - Compras;;59%;Alavancável
WEG TINTAS LTDA;R$ 1.025.286,32;12;Jonas Linshalm;;100%;Estratégico
JOST BRASIL - SISTEMAS AUTOMOTIVOS;R$ 1.016.243,75;13;Gibson Ribeiro;;49%;Gargalo
ARCELORMITTAL BRASIL S A;R$ 933.408,68;14;Marcia - Compras;;81%;Alavancável
SINALSUL INDUSTRIA DE AUTO PECAS LTDA;R$ 856.965,57;15;Marcia - Compras;Trocar carteira;79%;Alavancável
ALMAX COMERCIAL E DISTRIBUIDORA DE METAIS;R$ 827.528,00;16;Gibson Ribeiro;;100%;Alavancável
METALURGICA CECHINATO LTDA;R$ 805.246,80;17;Marcia - Compras;Trocar carteira;71%;Alavancável
MALTA RIO INDUSTRIAL LTDA;R$ 717.974,55;18;Marcia - Compras;;54%;Alavancável
MADEIRAS EULIDE LTDA;R$ 696.998,19;19;Jonas Linshalm;;71%;Estratégico
METALURGICA SPILLERE LTDA;R$ 642.600,00;20;Marcia - Compras;;79%;Alavancável
DAHER ACO INDUSTRIAL LTDA.;R$ 634.623,89;21;Gabriel André Bertram;;100%;Não crítico
VK INDUSTRIA DE MOLAS E GRAMPOS LTDA;R$ 629.192,88;22;Marcia - Compras;Trocar carteira;100%;Alavancável
SISTER COMERCIAL EXPORTADORA E IMPORTADORA LTDA;R$ 529.361,08;23;Marcelo Mattos;;100%;Não crítico
ALUSSIN IND E COM DE METAIS LTDA;R$ 465.541,56;24;Marcia - Compras;;50%;Gargalo
SA GONDOLAS DE ACO LTDA;R$ 465.339,20;25;Marcia - Compras;;100%;Alavancável
TERRAPLANAGEM TRANSP.ITOUPAVA LTDA;R$ 450.599,88;26;Gabriel André Bertram;;100%;Não crítico
PROLATECH IND E COM DE ACESSORIOS LTDA;R$ 448.087,00;27;Marcia - Compras;Trocar carteira;41%;Gargalo
FRAGON PRESTADORA DE SERVICOS E COMERCIO DE MATERIAIS DE CON;R$ 443.841,05;28;Gabriel André Bertram;;100%;Não crítico
ACOS UNIAO INDUSTRIA E COMERCIO DE ACO LTDA;R$ 427.048,94;29;Marcia - Compras;;60%;Alavancável
SOC.MICHELIN PARTICIP.IND.COM. LTDA;R$ 409.131,75;30;Gibson Ribeiro;;67%;Alavancável
TIMPTRADE COMERCIAL IMPORTADORA E EXPORTADORA LTDA;R$ 365.872,23;31;Gibson Ribeiro;;93%;Estratégico
ZF AUTOMOTIVE BRASIL LTDA;R$ 351.363,61;32;Gibson Ribeiro;;92%;Estratégico
DAKEN BRASIL LTDA;R$ 280.135,20;33;Marcia - Compras;;33%;Gargalo
FERCOI S/A;R$ 266.730,00;34;Marcia - Compras;;100%;Alavancável
BRASCOLA LTDA.;R$ 244.853,21;35;Marcia - Compras;Trocar carteira;70%;Alavancável
PC COZINHAS - INDUSTRIA DE ACESSORIOS LTDA;R$ 240.885,00;36;Marcia - Compras;;0%;Gargalo
PEDREIRA OURO PRETO LTDA.;R$ 234.872,11;37;Gabriel André Bertram;;100%;Não crítico
ECKISIL FREIOS SISTEMAS AUTOMOTIVOS LTDA;R$ 225.500,00;38;Marcia - Compras;Trocar carteira;100%;Alavancável
TEKNO S/A. CONSTRUCOES IND. E COM.;R$ 191.598,40;39;Marcia - Compras;;100%;Alavancável
ZSG INDUSTRIA PLASTICA E METAL MECANICA LTDA;R$ 186.000,00;40;Marcia - Compras;;100%;Alavancável
BRIDGESTONE DO BRASIL IND E COM LTDA;R$ 169.214,80;41;Gibson Ribeiro;;50%;Gargalo
RDR METAIS INDUSTRIAIS LTDA;R$ 163.979,00;42;Gibson Ribeiro;;100%;Alavancável
FIX IMPLEMENTOS RODOVIARIOS COMERCIO E SERVICOS LTDA;R$ 155.032,48;43;Jonas Linshalm;;88%;Estratégico
AUSTRALIS LUMBER;R$ 150.849,00;44;Jonas Linshalm;;100%;Estratégico
PERFILLINE COMPONENTES METALICOS LTDA ;R$ 142.086,55;45;Marcia - Compras;;100%;Estratégico
BAUMANN IND E COM DE ACOS LTDA;R$ 138.957,93;46;Marcia - Compras;Trocar carteira;81%;Alavancável
TERCILIO MARCHETTI IND E COM DE AUTOPECAS LTDA;R$ 138.649,62;47;Marcia - Compras;;64%;Não crítico
SCHULZ S.A;R$ 138.642,00;48;Gibson Ribeiro;;100%;Alavancável
COMPANHIA SIDERURGICA DO ESPIRITO SANTO  S/A;R$ 133.230,00;49;Marcia - Compras;;100%;Alavancável
ARCELORMITTAL GONVARRI BRASIL PRODUTOS SIDERURGICOS S/A;R$ 120.060,00;50;Marcia - Compras;;100%;Alavancável
CPX DISTRIBUIDORA S/A;R$ 116.376,00;51;Marcelo Mattos;;50%;Gargalo
TUBOS TIGRE-ADS DO BRASIL LIMITADA;R$ 115.796,14;52;Gabriel André Bertram;;100%;Não crítico
FORBAL IND. AUTOMOTIVE LTDA;R$ 113.989,41;53;Marcia - Compras;;93%;Alavancável
SILPA PECAS E EQUIPAMENTOS LTDA;R$ 109.920,00;54;Gibson Ribeiro;;85%;Alavancável
ANJO QUIMICA DO BRASIL LTDA;R$ 106.248,02;55;Gibson Ribeiro;;58%;Gargalo
BAW BRASIL IND E COM LTDA;R$ 105.614,05;56;Leonardo Pereira Falconeli Dos Santos;;97%;Não crítico
COBRA CONEXOES BRASIL IND.METAL.LT.;R$ 104.341,40;57;Marcia - Compras;;70%;Alavancável
METALURGICA SCHILD LTDA;R$ 100.150,80;58;Marcia - Compras;;;Alavancável
AUTO POSTO MANARIN LTDA;R$ 99.152,40;59;Leonardo Pereira Falconeli Dos Santos;;100%;Não crítico
PFERD RUGGEBERG DO BRASIL LTDA;R$ 98.295,00;60;Gabriel André Bertram;;80%;Alavancável
